Name MC MP
Bitcoin 1,116,181,011,483 55%
Ethereum 360,022,312,935 17%
Tether 112,257,454,407 5%
BNB 75,292,560,468 3%
Solana 64,019,370,250 3%
USDC 33,688,332,534 1%
XRP 24,216,188,079 1%
Toncoin 18,740,629,009 0%
Dogecoin 15,685,208,675 0%
Cardano 12,739,761,101 0%
TRON 11,298,185,603 0%
Avalanche 10,175,033,429 0%
"Shiba Inu" 9,229,951,963 0%
Polkadot 8,550,179,909 0%
Chainlink 7,598,369,045 0%
"Bitcoin Cash" 6,458,158,631 0%
Dai 5,348,514,585 0%
"UNUS SED LEO" 5,289,380,448 0%
"NEAR Protocol" 4,959,661,695 0%
Polygon 4,792,760,337 0%
Litecoin 4,715,327,138 0%
Uniswap 4,689,241,060 0%
Kaspa 4,116,305,192 0%
Pepe 3,802,329,804 0%
"Internet Computer" 3,237,545,052 0%
"Artificial Superintelligence Alliance" 3,087,179,581 0%
"Ethereum Classic" 3,050,969,503 0%
Monero 2,839,860,605 0%
Render 2,583,900,361 0%
Aptos 2,576,072,258 0%
Stellar 2,548,343,973 0%
Hedera 2,417,388,725 0%
Cosmos 2,289,213,631 0%
Cronos 2,272,191,444 0%
OKB 2,221,038,087 0%
Maker 2,116,833,089 0%
Mantle 2,110,064,665 0%
Filecoin 2,092,803,311 0%
Stacks 2,074,857,616 0%
Arbitrum 2,044,832,915 0%
dogwifhat 1,927,090,187 0%
VeChain 1,932,575,021 0%
Immutable 1,908,230,732 0%
"First Digital USD" 1,917,544,313 0%
Injective 1,791,836,762 0%
"The Graph" 1,706,252,172 0%
Sui 1,675,848,888 0%
Bittensor 1,568,170,572 0%
Optimism 1,521,649,696 0%
Bonk 1,517,838,163 0%
Arweave 1,466,905,502 0%
"Bitget Token" 1,426,524,204 0%
"Lido DAO" 1,391,580,044 0%
Ondo 1,381,155,164 0%
FLOKI 1,351,668,339 0%
"Theta Network" 1,280,014,942 0%
Fantom 1,211,842,593 0%
Aave 1,198,474,205 0%
"Brett (Based)" 1,203,668,345 0%
JasmyCoin 1,162,780,169 0%
THORChain 1,124,500,857 0%
Algorand 1,082,547,512 0%
Notcoin 1,055,451,509 0%
Celestia 1,043,553,049 0%
Jupiter 1,010,937,720 0%
"Pyth Network" 998,728,390 0%
Core 967,038,799 0%
MultiversX 907,570,868 0%
Flare 905,462,791 0%
Quant 886,006,210 0%
"Akash Network" 898,137,138 0%
Sei 851,696,279 0%
"KuCoin Token" 852,373,059 0%
Flow 784,074,239 0%
Starknet 772,847,895 0%
"Axie Infinity" 756,483,429 0%
"dYdX (Native)" 754,153,649 0%
"Ethereum Name Service" 746,888,086 0%
EOS 742,585,865 0%
"BitTorrent [New]" 740,653,518 0%
USDD 734,197,481 0%
Beam 715,531,694 0%
Tezos 715,923,647 0%
MANTRA 713,484,268 0%
Gala 709,016,128 0%
"Bitcoin SV" 709,320,647 0%
Neo 669,640,139 0%
"The Sandbox" 662,481,215 0%
Ethena 640,687,407 0%
GateToken 635,462,959 0%
Gnosis 630,396,432 0%
zkSync 600,472,319 0%
"Tether Gold" 589,650,088 0%
ORDI 584,111,114 0%
Nexo 588,356,523 0%
eCash 581,220,153 0%
Safe 583,210,426 0%
Decentraland 579,890,647 0%
Pendle 577,268,283 0%
Chiliz 576,669,926 0%
